	When	Rad	Tair	RH	Wind	Pressure	Prec	Cl	ew	rho_air	huma	DoY
0	2014-12-01 00:00:00	0.0	2.246	97.1	0.5	81850.0	0.0	0.0	697.1189389	1.03536	0.0053431	335
1	2014-12-01 01:00:00	0.0	2.146	98.0	0.5	81780.0	0.0003	0.0	698.5868755	1.0348503	0.0053591	335
2	2014-12-01 02:00:00	0.0	2.246	97.0	0.8	81720.0	0.0012	0.0	696.4009997	1.0337156	0.0053461	335
3	2014-12-01 03:00:00	0.0	2.446	95.4	1.2	81620.0	0.0005	0.0	694.7284373	1.0317014	0.0053398	335
4	2014-12-01 04:00:00	0.0	2.446	95.3	0.8	81550.0	0.0007	0.0	694.0002104	1.0308166	0.0053387	335
5	2014-12-01 05:00:00	0.0	2.346	95.6	0.5	81500.0	0.0003	0.0	691.2518838	1.0305585	0.0053207	335
6	2014-12-01 06:00:00	0.0	2.446	93.8	1.4	81510.0	0.0016	0.0	683.0768073	1.030311	0.0052566	335
7	2014-12-01 07:00:00	11.0	1.546	94.1	1.6	81560.0	0.0015	0.6007407	642.6448347	1.0343207	0.0049399	335
8	2014-12-01 08:00:00	62.0	2.046	92.1	1.1	81530.0	0.0	0.5949333	651.8657261	1.0320617	0.0050132	335
9	2014-12-01 09:00:00	75.0	2.546	91.2	1.9	81540.0	0.0001	0.7991803	668.8785834	1.0303163	0.0051445	335
10	2014-12-01 10:00:00	131.0	3.146	86.9	0.9	81580.0	0.0001	0.6352841	665.0190561	1.0285833	0.0051121	335
11	2014-12-01 11:00:00	141.0	3.546	88.3	1.0	81560.0	0.0	0.643866	695.0771499	1.0268445	0.0053464	335
12	2014-12-01 12:00:00	193.0	4.246	86.4	0.7	81520.0	0.0001	0.4285801	714.401106	1.023751	0.0054991	335
13	2014-12-01 13:00:00	203.0	4.946	84.8	1.1	81490.0	0.0	0.1425	736.3083582	1.0207983	0.0056714	335
14	2014-12-01 14:00:00	112.0	5.046	84.7	1.3	81480.0	0.0	0.3096855	740.5785842	1.0203061	0.0057053	335
15	2014-12-01 15:00:00	32.0	4.146	88.7	1.3	81530.0	0.0	0.02	728.2970221	1.0242458	0.0056063	335
16	2014-12-01 16:00:00	0.0	2.646	95.0	1.1	81560.0	0.0	0.3633193	701.7126351	1.0301954	0.0053979	335
17	2014-12-01 17:00:00	0.0	1.646	96.3	0.7	81610.0	0.0	0.3633193	662.393683	1.0345782	0.0050898	335
18	2014-12-01 18:00:00	0.0	1.946	95.8	0.5	81640.0	0.0	0.3633193	673.2334242	1.0338298	0.0051719	335
19	2014-12-01 19:00:00	0.0	2.146	96.1	0.5	81650.0	0.0	0.3633193	685.0428442	1.0332053	0.0052627	335
20	2014-12-01 20:00:00	0.0	2.246	96.5	0.5	81680.0	0.0007	0.3633193	692.8113038	1.0332096	0.0053209	335
21	2014-12-01 21:00:00	0.0	1.946	97.4	0.5	81690.0	0.0002	0.3633193	684.4774063	1.034463	0.0052558	335
22	2014-12-01 22:00:00	0.0	1.946	97.1	0.5	81690.0	0.0001	0.3633193	682.3691596	1.034463	0.0052394	335
23	2014-12-01 23:00:00	0.0	1.946	97.2	0.2	81690.0	0.0	0.3633193	683.0719085	1.034463	0.0052449	335
24	2014-12-02 00:00:00	0.0	1.946	94.8	0.6	81680.0	0.0	0.0	666.2059355	1.0343364	0.0051149	336
25	2014-12-02 01:00:00	0.0	1.146	95.3	0.5	81660.0	0.0	0.0	632.4334755	1.0370991	0.0048548	336
26	2014-12-02 02:00:00	0.0	-0.154	96.4	0.6	81640.0	0.0	0.0	582.4013266	1.0417825	0.0044691	336
27	2014-12-02 03:00:00	0.0	-0.254	95.2	0.8	81610.0	0.0	0.0	570.9887073	1.0417813	0.0043825	336
28	2014-12-02 04:00:00	0.0	-0.654	96.7	0.4	81590.0	0.0	0.0	563.3418433	1.0430549	0.0043245	336
29	2014-12-02 05:00:00	0.0	-0.854	98.3	0.4	81590.0	0.0	0.0	564.3660409	1.043821	0.0043324	336
30	2014-12-02 06:00:00	0.0	-0.454	96.7	0.3	81630.0	0.0	0.0	571.6098978	1.0428008	0.0043862	336
31	2014-12-02 07:00:00	12.0	-0.254	97.1	0.3	81680.0	0.0002	0.5476923	582.3844904	1.0426749	0.0044668	336
32	2014-12-02 08:00:00	56.0	0.046	96.7	0.6	81700.0	0.0003	0.6291892	592.7526588	1.0417849	0.0045457	336
33	2014-12-02 09:00:00	167.0	0.646	95.1	0.4	81720.0	0.0	0.5528415	608.79438	1.0397564	0.0046685	336
34	2014-12-02 10:00:00	208.0	1.846	91.3	0.2	81700.0	0.0	0.4209091	637.0449109	1.0349659	0.0048881	336
35	2014-12-02 11:00:00	269.0	3.446	83.4	0.3	81660.0	0.0	0.320567	651.8949098	1.0284752	0.0050054	336
36	2014-12-02 12:00:00	206.0	4.146	79.7	0.9	81630.0	0.0	0.3900906	654.3999173	1.0255021	0.0050267	336
37	2014-12-02 13:00:00	160.0	4.146	78.5	0.9	81620.0	0.0	0.4498246	644.54697	1.0253764	0.004951	336
38	2014-12-02 14:00:00	65.0	3.746	83.5	2.2	81640.0	0.0	0.5993711	666.6116197	1.0271093	0.0051206	336
39	2014-12-02 15:00:00	11.0	3.146	86.6	1.9	81670.0	0.0	0.663125	662.7232481	1.029718	0.0050886	336
40	2014-12-02 16:00:00	0.0	2.546	91.0	1.5	81710.0	0.0002	0.4739812	667.4117444	1.0324644	0.0051224	336
41	2014-12-02 17:00:00	0.0	1.846	93.3	0.9	81750.0	0.0012	0.4739812	650.9998925	1.0355993	0.0049929	336
42	2014-12-02 18:00:00	0.0	1.446	95.9	0.4	81780.0	0.0002	0.4739812	650.2628825	1.0374884	0.0049854	336
43	2014-12-02 19:00:00	0.0	1.346	96.3	0.2	81820.0	0.0001	0.4739812	648.3105049	1.038374	0.0049679	336
44	2014-12-02 20:00:00	0.0	1.146	97.0	0.2	81840.0	0.0001	0.4739812	643.71508	1.0393851	0.0049311	336
45	2014-12-02 21:00:00	0.0	1.146	96.4	0.4	81870.0	0.0	0.4739812	639.7333372	1.0397661	0.0048986	336
46	2014-12-02 22:00:00	0.0	1.246	95.9	0.5	81910.0	0.0003	0.4739812	641.0017919	1.039895	0.004906	336
47	2014-12-02 23:00:00	0.0	1.046	97.4	1.0	81920.0	0.0002	0.4739812	641.7408172	1.0407806	0.0049111	336
48	2014-12-03 00:00:00	0.0	0.746	96.7	1.3	81930.0	0.0001	0.0166667	623.5166969	1.0420477	0.0047699	337
49	2014-12-03 01:00:00	0.0	0.646	96.8	1.1	81960.0	0.0	0.0166667	619.6771397	1.04281	0.0047386	337
50	2014-12-03 02:00:00	0.0	0.446	97.5	0.9	81980.0	0.0	0.0166667	615.2109048	1.043827	0.004703	337
51	2014-12-03 03:00:00	0.0	0.246	98.0	0.4	82000.0	0.0001	0.0166667	609.4870274	1.0448454	0.0046578	337
52	2014-12-03 04:00:00	0.0	0.246	98.2	0.7	82030.0	0.0	0.0166667	610.7308785	1.0452277	0.0046657	337
53	2014-12-03 05:00:00	0.0	0.346	97.3	0.4	82050.0	0.0	0.0166667	609.5271156	1.0451003	0.0046553	337
54	2014-12-03 06:00:00	0.0	0.246	97.3	1.1	82090.0	0.0	0.0166667	605.1335486	1.0459922	0.0046192	337
55	2014-12-03 07:00:00	11.0	0.146	97.6	0.7	82140.0	0.0	0.5853846	602.6203937	1.0470123	0.004597	337
