,Rad,Tair,RH,Wind,Pressure,Prec,Cl,Date,Time,huma,rho_air
0,0.0,-11.054,86.3,0.6,84070.0,0.0,0.05767,2017-12-06,00:00:00,0.00169,1.11741
1,0.0,-11.754,88.4,1.0,84070.0,0.0,0.05767,2017-12-06,01:00:00,0.00164,1.1204
2,0.0,-11.654,88.9,0.7,84060.0,0.0,0.05767,2017-12-06,02:00:00,0.00166,1.11984
3,0.0,-12.654,89.4,0.8,84030.0,0.0,0.05767,2017-12-06,03:00:00,0.00154,1.12373
4,0.0,-12.554,89.8,0.7,84010.0,0.0,0.05767,2017-12-06,04:00:00,0.00156,1.12304
5,0.0,-13.254,89.0,0.7,84000.0,0.0,0.05767,2017-12-06,05:00:00,0.00146,1.12593
6,0.0,-13.054,88.4,0.9,84000.0,0.0,0.05767,2017-12-06,06:00:00,0.00147,1.12506
7,9.0,-12.954,86.7,0.8,84000.0,0.0,0.05767,2017-12-06,07:00:00,0.00146,1.12463
8,83.0,-12.554,89.5,0.5,84010.0,0.0,0.33328,2017-12-06,08:00:00,0.00155,1.12304
9,282.0,-10.854,90.7,0.3,84000.0,0.0,0.20586,2017-12-06,09:00:00,0.00181,1.11562
10,363.0,-8.054,82.6,0.3,83980.0,0.0,0.07359,2017-12-06,10:00:00,0.00205,1.10358
11,393.0,-5.454,81.0,0.3,83920.0,0.0,0.06292,2017-12-06,11:00:00,0.00246,1.09208
12,365.0,-3.854,70.6,0.4,83860.0,0.0,0.06115,2017-12-06,12:00:00,0.00242,1.08481
13,284.0,-1.754,57.7,0.2,83810.0,0.0,0.06916,2017-12-06,13:00:00,0.00231,1.07578
14,162.0,-1.254,53.2,0.2,83780.0,0.0,0.07698,2017-12-06,14:00:00,0.00221,1.07342
15,23.0,-3.054,61.0,0.5,83800.0,0.0,0.37389,2017-12-06,15:00:00,0.00222,1.08083
16,0.0,-6.854,72.1,0.8,83800.0,0.0,0.11748,2017-12-06,16:00:00,0.00197,1.09625
17,0.0,-7.054,73.4,0.9,83810.0,0.0,0.11748,2017-12-06,17:00:00,0.00197,1.09721
18,0.0,-9.254,73.1,1.3,83810.0,0.0,0.11748,2017-12-06,18:00:00,0.00165,1.10635
19,0.0,-10.054,73.3,1.2,83810.0,0.0,0.11748,2017-12-06,19:00:00,0.00156,1.10972
20,0.0,-10.454,74.0,1.2,83800.0,0.0,0.11748,2017-12-06,20:00:00,0.00152,1.11127
21,0.0,-11.854,77.6,1.4,83780.0,0.0,0.11748,2017-12-06,21:00:00,0.00143,1.11696
22,0.0,-12.054,76.1,0.9,83780.0,0.0,0.11748,2017-12-06,22:00:00,0.00138,1.11782
23,0.0,-12.054,75.8,1.1,83740.0,0.0,0.11748,2017-12-06,23:00:00,0.00137,1.11728
24,0.0,-12.954,79.2,1.4,83700.0,0.0,0.05988,2017-12-07,00:00:00,0.00134,1.12061
25,0.0,-12.554,79.2,0.9,83680.0,0.0,0.05988,2017-12-07,01:00:00,0.00138,1.11862
26,0.0,-12.954,80.0,1.6,83660.0,0.0,0.05988,2017-12-07,02:00:00,0.00135,1.12008
27,0.0,-13.754,81.8,0.8,83620.0,0.0,0.05988,2017-12-07,03:00:00,0.00129,1.12299
28,0.0,-13.754,82.1,0.9,83590.0,0.0,0.05988,2017-12-07,04:00:00,0.0013,1.12259
29,0.0,-13.654,81.3,1.0,83590.0,0.0,0.05988,2017-12-07,05:00:00,0.0013,1.12216
30,0.0,-13.754,82.9,0.9,83580.0,0.0,0.05988,2017-12-07,06:00:00,0.00131,1.12246
31,8.0,-13.854,81.9,1.0,83580.0,0.0,0.05988,2017-12-07,07:00:00,0.00129,1.12289
32,80.0,-13.454,83.3,0.5,83570.0,0.0,0.35738,2017-12-07,08:00:00,0.00135,1.12103
33,281.0,-10.454,76.6,0.3,83550.0,0.0,0.20868,2017-12-07,09:00:00,0.00158,1.10796
34,362.0,-7.954,69.7,0.4,83500.0,0.0,0.07615,2017-12-07,10:00:00,0.00175,1.09686
35,390.0,-4.254,57.0,0.5,83400.0,0.0,0.07007,2017-12-07,11:00:00,0.0019,1.08047
36,361.0,-0.054,43.7,3.7,83320.0,0.0,0.07144,2017-12-07,12:00:00,0.00199,1.06283
37,278.0,0.746,45.2,7.0,83260.0,0.0,0.08883,2017-12-07,13:00:00,0.00218,1.05896
38,158.0,0.046,49.9,6.3,83250.0,0.0,0.09977,2017-12-07,14:00:00,0.00229,1.06155
39,22.0,-1.954,59.0,4.0,83240.0,0.0,0.40111,2017-12-07,15:00:00,0.00234,1.06925
40,0.0,-2.954,66.8,4.1,83240.0,0.0,0.12716,2017-12-07,16:00:00,0.00246,1.07321
41,0.0,-3.754,73.9,4.3,83220.0,0.0,0.12716,2017-12-07,17:00:00,0.00257,1.07614
42,0.0,-4.054,80.3,3.9,83220.0,0.0,0.12716,2017-12-07,18:00:00,0.00273,1.07734
43,0.0,-4.054,81.0,3.7,83190.0,0.0,0.12716,2017-12-07,19:00:00,0.00276,1.07695
44,0.0,-4.754,80.2,3.6,83160.0,0.0,0.12716,2017-12-07,20:00:00,0.00259,1.07937
45,0.0,-6.854,76.0,4.6,83130.0,0.0,0.12716,2017-12-07,21:00:00,0.00209,1.08749
46,0.0,-5.554,76.0,4.9,83060.0,0.0,0.12716,2017-12-07,22:00:00,0.00231,1.08129
47,0.0,-4.154,75.2,5.2,82990.0,0.0,0.12716,2017-12-07,23:00:00,0.00254,1.07476
48,0.0,-3.454,71.1,5.9,82910.0,0.0,0.05877,2017-12-08,00:00:00,0.00254,1.07093
49,0.0,-4.954,74.5,3.0,82820.0,0.0,0.05877,2017-12-08,01:00:00,0.00238,1.07575
50,0.0,-6.154,81.5,1.1,82740.0,0.0,0.05877,2017-12-08,02:00:00,0.00238,1.07955
51,0.0,-3.654,78.3,2.3,82620.0,0.0,0.05877,2017-12-08,03:00:00,0.00276,1.06798
52,0.0,-2.554,77.6,2.9,82530.0,0.0,0.05877,2017-12-08,04:00:00,0.00298,1.06248
53,0.0,-1.854,74.5,4.3,82450.0,0.0,0.05877,2017-12-08,05:00:00,0.00301,1.05871
54,0.0,-1.954,75.0,3.4,82410.0,0.0,0.05877,2017-12-08,06:00:00,0.00301,1.05859
55,13.0,-1.554,73.9,3.1,82350.0,0.0,0.4904,2017-12-08,07:00:00,0.00306,1.05626
56,48.0,-1.154,72.9,4.3,82290.0,0.0,0.552,2017-12-08,08:00:00,0.00311,1.05394
57,51.0,-0.954,73.4,3.9,82250.0,0.0,0.83981,2017-12-08,09:00:00,0.00318,1.05265
58,71.0,-0.854,73.2,4.8,82170.0,0.0,0.81927,2017-12-08,10:00:00,0.0032,1.05124
59,214.0,-1.354,82.8,6.1,82060.0,0.0,0.48345,2017-12-08,11:00:00,0.00349,1.05177
60,373.0,-1.254,81.4,7.8,81950.0,0.0,0.0304,2017-12-08,12:00:00,0.00346,1.04997
61,285.0,-1.254,79.3,8.0,81850.0,0.0,0.05,2017-12-08,13:00:00,0.00338,1.04869
62,150.0,-1.454,78.8,7.8,81790.0,0.0,0.14535,2017-12-08,14:00:00,0.00331,1.04869
63,21.0,-1.554,74.5,4.0,81780.0,0.0,0.42833,2017-12-08,15:00:00,0.00311,1.04895
64,0.0,-2.954,63.0,6.2,81840.0,0.0,0.22184,2017-12-08,16:00:00,0.00236,1.05516
65,0.0,-3.954,66.9,5.9,81880.0,0.0,0.22184,2017-12-08,17:00:00,0.00233,1.05959
66,0.0,-4.654,69.1,5.5,81900.0,0.0,0.22184,2017-12-08,18:00:00,0.00228,1.06262
67,0.0,-5.454,62.6,5.6,81950.0,0.0,0.22184,2017-12-08,19:00:00,0.00194,1.06644
68,0.0,-5.754,48.2,4.7,81920.0,0.0,0.22184,2017-12-08,20:00:00,0.00146,1.06725
69,0.0,-5.854,42.1,5.6,81910.0,0.0,0.22184,2017-12-08,21:00:00,0.00127,1.06752
