	Date	Time	Type	Temp	Icethick	Tair
0	2017-12-01	00:00:00	Water	4.0	0.0	-16.354
1	2017-12-01	01:00:00	Water	3.0167954457499513	0.0	-16.254
2	2017-12-01	02:00:00	Water	2.148233182034195	0.0	-17.054000000000002
3	2017-12-01	03:00:00	Water	1.3413359122444493	0.0	-16.154
4	2017-12-01	04:00:00	Water	0.5281111952134073	0.0	-16.554000000000002
5	2017-12-01	05:00:00	Water	-0.31114424353726744	0.0	-17.254
6	2017-12-01	06:00:00	Water	-1.1591035973048276	0.0	-17.754
7	2017-12-01	07:00:00	Water	-1.9270562560758906	0.0	-16.954
8	2017-12-01	08:00:00	Water	-2.5886694814055593	0.0	-16.254
9	2017-12-01	09:00:00	Water	-2.7899336911210644	0.0	-13.854000000000001
10	2017-12-01	10:00:00	Water	-2.099475363274151	0.0	-12.454
11	2017-12-01	11:00:00	Water	-1.2526622240848737	0.0	-9.654
12	2017-12-01	12:00:00	Water	-0.353860785484733	0.0	-7.553999999999999
13	2017-12-01	13:00:00	Water	0.4351769954851066	0.0	-6.854
14	2017-12-01	14:00:00	Water	0.5041697857079149	0.0	-6.954
15	2017-12-01	15:00:00	Water	0.25660106936792204	0.0	-7.954
16	2017-12-01	16:00:00	Water	-0.4156076402056651	0.0	-8.654
17	2017-12-01	17:00:00	Water	-1.0987747961446885	0.0	-11.054
18	2017-12-01	18:00:00	Water	-1.7470939606363831	0.0	-12.454
19	2017-12-01	19:00:00	Water	-2.4466981711535727	0.0	-14.154000000000002
20	2017-12-01	20:00:00	Water	-3.2073223072626913	0.0	-14.854000000000001
21	2017-12-01	21:00:00	Water	-3.898348607508499	0.0	-15.154000000000002
22	2017-12-01	22:00:00	Water	-4.558953644860184	0.0	-14.754000000000001
23	2017-12-01	23:00:00	Water	-5.164271555905517	0.0	-14.554
24	2017-12-02	00:00:00	Water	-5.747990896340608	0.0	-15.254000000000001
25	2017-12-02	01:00:00	Water	-6.298958426712786	0.0	-15.854000000000001
26	2017-12-02	02:00:00	Water	-6.904984338775016	0.0	-15.954
27	2017-12-02	03:00:00	Water	-7.4500275745387095	0.01	-16.454
28	2017-12-02	04:00:00	Ice	0.0	0.01	-16.354
