,When,Rad,Tair,RH,Wind,Pressure,Prec,Cl,ew,rho_air,huma,DoY
0,2017-12-06 00:00:00,0.0,-11.054,86.3,0.6,84070.0,0.0,0.05767,227.6563,1.11741,0.00169,340
1,2017-12-06 01:00:00,0.0,-11.754,88.4,1.0,84070.0,0.0,0.05767,220.52136,1.1204,0.00164,340
2,2017-12-06 02:00:00,0.0,-11.654,88.9,0.7,84060.0,0.0,0.05767,223.55087,1.11984,0.00166,340
3,2017-12-06 03:00:00,0.0,-12.654,89.4,0.8,84030.0,0.0,0.05767,207.45042,1.12373,0.00154,340
4,2017-12-06 04:00:00,0.0,-12.554,89.8,0.7,84010.0,0.0,0.05767,210.06638,1.12304,0.00156,340
5,2017-12-06 05:00:00,0.0,-13.254,89.0,0.7,84000.0,0.0,0.05767,196.73532,1.12593,0.00146,340
6,2017-12-06 06:00:00,0.0,-13.054,88.4,0.9,84000.0,0.0,0.05767,198.60262,1.12506,0.00147,340
7,2017-12-06 07:00:00,9.0,-12.954,86.7,0.8,84000.0,0.0,0.05767,196.3665,1.12463,0.00146,340
8,2017-12-06 08:00:00,83.0,-12.554,89.5,0.5,84010.0,0.0,0.33328,209.3646,1.12304,0.00155,340
9,2017-12-06 09:00:00,282.0,-10.854,90.7,0.3,84000.0,0.0,0.20586,243.09929,1.11562,0.00181,340
10,2017-12-06 10:00:00,363.0,-8.054,82.6,0.3,83980.0,0.0,0.07359,275.82104,1.10358,0.00205,340
11,2017-12-06 11:00:00,393.0,-5.454,81.0,0.3,83920.0,0.0,0.06292,330.19389,1.09208,0.00246,340
12,2017-12-06 12:00:00,365.0,-3.854,70.6,0.4,83860.0,0.0,0.06115,324.68886,1.08481,0.00242,340
13,2017-12-06 13:00:00,284.0,-1.754,57.7,0.2,83810.0,0.0,0.06916,310.12111,1.07578,0.00231,340
14,2017-12-06 14:00:00,162.0,-1.254,53.2,0.2,83780.0,0.0,0.07698,296.62733,1.07342,0.00221,340
15,2017-12-06 15:00:00,23.0,-3.054,61.0,0.5,83800.0,0.0,0.37389,297.79676,1.08083,0.00222,340
16,2017-12-06 16:00:00,0.0,-6.854,72.1,0.8,83800.0,0.0,0.11748,264.12273,1.09625,0.00197,340
17,2017-12-06 17:00:00,0.0,-7.054,73.4,0.9,83810.0,0.0,0.11748,264.78363,1.09721,0.00197,340
