Weather forecast SAMEDAN;;;;;;;;;;;
year;month;day;2;5;8;11;14;17;20;23;
2017;12;13;-3 ;-4 ;-6 ;1 ;2 ;-1 ;-5 ;-7 ;TEMPERATURE (deg C)
2017;12;13;-;-;-;-;-;-;-;-;PRECIPITATION (mm/3h)
2017;12;14;-7 ;-1 ;-3 ;-5 ;0 ;-1 ;-3 ;-5 ;
2017;12;14;-;-;-;-;-;-;-;-;
2017;12;15;-5 ;-7 ;-8 ;-10 ;-6 ;-6 ;-10 ;-12 ;
2017;12;15;-;-;-;-;-;-;-;-;
2017;12;16;-15 ;-14 ;-12 ;-12 ;-8 ;-8 ;-10 ;-12 ;
2017;12;16;-;-;-;-;-;-;-;-;
2017;12;17;-13 ;-13 ;-13 ;-12 ;-9 ;-9 ;-13 ;-16 ;
2017;12;17;-;-;-;-;-;-;-;-;
2017;12;18;-18 ;-18 ;-18 ;-14 ;-10 ;-8 ;-10 ;-11 ;
2017;12;18;-;-;-;-;-;-;-;-;
2017;12;19;-18 ;-18 ;-18 ;-14 ;-10 ;-8 ;-10 ;-11 ;
2017;12;19;-;-;-;-;-;-;1;1;
WEEK 2;;;Tmax;Tmin;prec;prec-percent;;;;;
2017;12;20;-16;-6;1;45;;;;;
2017;12;21;-12;-3;0;35;;;;;
2017;12;22;-12;-2;0;25;;;;;
2017;12;23;-13;-4;0;35;;;;;
2017;12;24;-14;-5;0;35;;;;;
2017;12;25;-12;-5;2;35;;;;;
2017;12;26;-12;-4;6;30;;;;;
