10:31:27   09.01.2018              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 09.10.2016 09:20  -  09.01.2018 09:20 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    29	Samedan                 1709 m.ü.M.	787210/ 155700
Anzahl Parameter  6
   261  Lufttemperatur 2 m über Boden; Stundenmittel  [°C]
   266  Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel  [%]
   283  Windgeschwindigkeit skalar; Stundenmittel  [m/s]
   269  Globalstrahlung; Stundenmittel  [W/m²]
   306  Luftdruck auf Stationshöhe (QFE); Stundenmittel  [hPa]
   267  Niederschlag; Stundensumme  [mm]

  STA JAHR MO TG HH MM   261   266   283   269   306   267
   29 2016 10  9  9 20 32767 32767 32767 32767 32767 32767 
   29 2016 10  9 10  0   3.7  50.2   0.9   299 828.1   0.0 
   29 2016 10  9 11  0   4.0  54.6   2.1   180 828.0   0.0 
   29 2016 10  9 12  0   3.3  66.0   2.7   114 827.9   0.0 
   29 2016 10  9 13  0   2.0  79.3   3.0    79 828.0   0.1 
   29 2016 10  9 14  0   0.9  92.6   2.3    75 828.1   0.3 
   29 2016 10  9 15  0   1.2  90.1   3.4    39 828.0   0.2 
   29 2016 10  9 16  0   0.6  89.2   4.5     8 828.3   0.4 
   29 2016 10  9 17  0   0.4  90.1   3.9     0 828.9   0.3 
   29 2016 10  9 18  0   0.0  92.2   1.8     0 829.1   0.2 
   29 2016 10  9 19  0  -0.1  93.8   0.8     0 829.3   0.1 
   29 2016 10  9 20  0  -0.3  95.8   0.8     0 829.4   0.3 
   29 2016 10  9 21  0   0.0  90.3   3.4     0 829.4   0.2 
   29 2016 10  9 22  0  -0.2  87.4   2.3     0 829.4   0.2 
   29 2016 10  9 23  0  -0.8  93.4   1.5     0 829.4   0.4 
   29 2016 10 10  0  0  -0.9  94.9   1.2     0 829.3   0.4 
   29 2016 10 10  1  0  -1.0  95.1   0.5     0 829.1   0.4 
   29 2016 10 10  2  0  -1.0  94.5   2.0     0 828.7   0.3 
   29 2016 10 10  3  0  -1.1  93.1   3.1     0 828.5   0.4 
   29 2016 10 10  4  0  -1.1  91.5   3.1     0 828.3   0.2 
   29 2016 10 10  5  0  -1.2  90.1   3.6     0 828.4   0.2 
   29 2016 10 10  6  0  -1.2  88.5   3.6    40 828.5   0.0 
   29 2016 10 10  7  0  -1.7  90.5   1.4   108 828.8   0.0 
   29 2016 10 10  8  0  -1.6  91.9   0.3   385 828.7   0.0 
   29 2016 10 10  9  0   0.7  79.2   0.9   670 828.4   0.0 
   29 2016 10 10 10  0   1.7  72.6   1.9   483 828.1   0.0 
   29 2016 10 10 11  0   2.8  64.5   2.4   535 827.6   0.0 
   29 2016 10 10 12  0   3.1  59.1   3.0   356 827.0   0.0 
   29 2016 10 10 13  0   3.5  62.5   3.8   308 826.7   0.0 
   29 2016 10 10 14  0   2.7  62.0   3.3   137 826.6   0.0 
   29 2016 10 10 15  0   2.2  60.6   2.0    82 826.4   0.0 
   29 2016 10 10 16  0   0.9  63.9   3.4    25 826.4   0.0 
