16:09:39   06.01.2017              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 06.12.2016 14:50  -  06.01.2017 14:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    29	Samedan                 1709 m.ü.M.	787210/ 155700
Anzahl Parameter  6
   261  Lufttemperatur 2 m über Boden; Stundenmittel  [°C]
   266  Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel  [%]
   283  Windgeschwindigkeit skalar; Stundenmittel  [m/s]
   269  Globalstrahlung; Stundenmittel  [W/m²]
   306  Luftdruck auf Stationshöhe (QFE); Stundenmittel  [hPa]
   267  Niederschlag; Stundensumme  [mm]

  STA JAHR MO TG HH MM   261   266   283   269   306   267
   29 2016 12  6 14 50 32767 32767 32767 32767 32767 32767 
   29 2016 12  6 15  0  -3.9  49.6   1.9    22 837.0   0.0 
   29 2016 12  6 16  0  -6.3  58.0   0.8     0 837.7   0.0 
   29 2016 12  6 17  0  -8.5  68.2   0.9     0 838.1   0.0 
   29 2016 12  6 18  0  -8.7  69.4   0.9     0 838.6   0.0 
   29 2016 12  6 19  0  -9.9  72.0   0.9     0 839.0   0.0 
   29 2016 12  6 20  0 -11.0  75.0   0.9     0 839.2   0.0 
   29 2016 12  6 21  0 -11.0  74.9   0.8     0 839.2   0.0 
   29 2016 12  6 22  0 -12.2  78.0   0.9     0 839.4   0.0 
   29 2016 12  6 23  0 -12.3  78.7   1.0     0 839.5   0.0 
   29 2016 12  7  0  0 -12.7  79.7   0.8     0 839.3   0.0 
   29 2016 12  7  1  0 -13.3  79.5   0.9     0 839.5   0.0 
   29 2016 12  7  2  0 -13.7  79.5   0.8     0 839.8   0.0 
   29 2016 12  7  3  0 -13.3  80.1   0.7     0 839.9   0.0 
   29 2016 12  7  4  0 -14.2  82.7   0.7     0 840.2   0.0 
   29 2016 12  7  5  0 -14.4  81.5   0.8     0 840.3   0.0 
   29 2016 12  7  6  0 -14.0  81.2   0.6     0 840.5   0.0 
   29 2016 12  7  7  0 -13.8  79.5   0.8     8 840.7   0.0 
   29 2016 12  7  8  0 -12.8  80.3   0.3    77 841.0   0.0 
   29 2016 12  7  9  0  -8.4  76.2   0.4   273 841.0   0.0 
   29 2016 12  7 10  0  -3.8  62.9   0.4   357 840.8   0.0 
   29 2016 12  7 11  0  -0.7  43.6   0.6   390 840.3   0.0 
   29 2016 12  7 12  0   2.1  31.2   0.6   364 839.9   0.0 
   29 2016 12  7 13  0   4.0  28.0   0.5   277 839.8   0.0 
   29 2016 12  7 14  0   3.1  32.3   1.8   157 840.0   0.0 
   29 2016 12  7 15  0  -1.1  42.9   1.7    25 840.6   0.0 
   29 2016 12  7 16  0  -3.0  49.3   1.0     0 841.3   0.0 
   29 2016 12  7 17  0  -5.2  61.1   1.3     0 841.6   0.0 
   29 2016 12  7 18  0  -5.4  63.5   0.8     0 841.8   0.0 
   29 2016 12  7 19  0  -7.2  71.9   0.8     0 842.3   0.0 
   29 2016 12  7 20  0  -7.6  71.1   0.7     0 842.6   0.0 
   29 2016 12  7 21  0  -8.7  74.9   1.0     0 843.0   0.0 
   29 2016 12  7 22  0  -9.0  75.5   0.9     0 843.1   0.0 
   29 2016 12  7 23  0  -9.3  75.2   0.8     0 843.2   0.0 
   29 2016 12  8  0  0  -9.6  77.1   0.8     0 843.1   0.0 
   29 2016 12  8  1  0 -10.1  77.6   0.9     0 843.2   0.0 
   29 2016 12  8  2  0 -10.8  80.3   0.8     0 843.2   0.0 
   29 2016 12  8  3  0 -10.8  80.7   0.8     0 843.0   0.0 
   29 2016 12  8  4  0 -10.4  79.7   0.9     0 842.8   0.0 
   29 2016 12  8  5  0 -11.1  82.1   0.7     0 843.1   0.0 
   29 2016 12  8  6  0 -10.1  79.2   1.0     0 843.2   0.0 
   29 2016 12  8  7  0  -9.9  78.5   0.7     9 843.2   0.0 
   29 2016 12  8  8  0  -9.5  79.3   0.3    77 843.4   0.0 
   29 2016 12  8  9  0  -3.9  66.0   0.4   255 843.6   0.0 
   29 2016 12  8 10  0   0.4  54.3   0.5   340 843.1   0.0 
   29 2016 12  8 11  0   4.0  35.9   0.6   369 842.4   0.0 
   29 2016 12  8 12  0   6.2  27.7   0.6   351 841.8   0.0 
   29 2016 12  8 13  0   7.7  25.1   0.7   271 841.4   0.0 
   29 2016 12  8 14  0   5.9  29.5   3.3   151 841.3   0.0 
   29 2016 12  8 15  0   1.9  39.6   2.5    21 841.2   0.0 
   29 2016 12  8 16  0  -2.2  51.1   1.5     0 841.6   0.0 
   29 2016 12  8 17  0  -3.3  55.5   0.9     0 842.0   0.0 
   29 2016 12  8 18  0  -4.2  59.2   1.1     0 842.2   0.0 
   29 2016 12  8 19  0  -5.0  64.2   1.0     0 842.3   0.0 
